"id","chart_template_id:id","code","parent_id:id","name","user_type_id:id","reconcile"
"ao_431","l10n_ao.l10n_ao_chart_template",431,"l10n_ao.ao_43","Moeda nacional","account_parent_v10.data_account_type_view",0
"ao_431101","l10n_ao.l10n_ao_chart_template",431101,"l10n_ao.ao_431","Banco","account.data_account_type_liquidity",0
"ao_432","l10n_ao.l10n_ao_chart_template",432,"l10n_ao.ao_43","Moeda estrangeira","account_parent_v10.data_account_type_view",0
"ao_432101","l10n_ao.l10n_ao_chart_template",432101,"l10n_ao.ao_432","Banco","account.data_account_type_liquidity",0
"ao_44","l10n_ao.l10n_ao_chart_template",44,"l10n_ao.ao_4","OUTROS DEPÓSITOS","account_parent_v10.data_account_type_view",0
"ao_441","l10n_ao.l10n_ao_chart_template",441,"l10n_ao.ao_44","Moedas nacional","account_parent_v10.data_account_type_view",0
"ao_441101","l10n_ao.l10n_ao_chart_template",441101,"l10n_ao.ao_441","Banco","account.data_account_type_current_assets",0
"ao_442","l10n_ao.l10n_ao_chart_template",442,"l10n_ao.ao_44","Moeda estrangeira","account_parent_v10.data_account_type_view",0
"ao_442101","l10n_ao.l10n_ao_chart_template",442101,"l10n_ao.ao_442","Banco","account.data_account_type_current_assets",0
"ao_45","l10n_ao.l10n_ao_chart_template",45,"l10n_ao.ao_4","CAIXA","account_parent_v10.data_account_type_view",0
"ao_451","l10n_ao.l10n_ao_chart_template",451,"l10n_ao.ao_45","Fundo fixo","account_parent_v10.data_account_type_view",0
"ao_451101","l10n_ao.l10n_ao_chart_template",451101,"l10n_ao.ao_451","Caixa","account.data_account_type_liquidity",0
"ao_452","l10n_ao.l10n_ao_chart_template",452,"l10n_ao.ao_45","Valores para depositar","account_parent_v10.data_account_type_view",0
"ao_452100","l10n_ao.l10n_ao_chart_template",452100,"l10n_ao.ao_452","Valores para depositar","account.data_account_type_current_assets",0
"ao_453","l10n_ao.l10n_ao_chart_template",453,"l10n_ao.ao_45","Valores destinados a pagamentos específicos","account_parent_v10.data_account_type_view",0
"ao_453100","l10n_ao.l10n_ao_chart_template",453100,"l10n_ao.ao_453","Salários","account.data_account_type_current_assets",0
"ao_48","l10n_ao.l10n_ao_chart_template",48,"l10n_ao.ao_4","CONTAS TRANSITÓRIAS","account_parent_v10.data_account_type_view",0
"ao_481001","l10n_ao.l10n_ao_chart_template",481001,"l10n_ao.ao_48","Banco","account.data_account_type_current_assets",0
"ao_482001","l10n_ao.l10n_ao_chart_template",482001,"l10n_ao.ao_48","Banco","account.data_account_type_current_assets",0
"ao_49","l10n_ao.l10n_ao_chart_template",49,"l10n_ao.ao_4","PROVISÕES PARA APLICAÇÕES DE TESOURARIA","account_parent_v10.data_account_type_view",0
"ao_491","l10n_ao.l10n_ao_chart_template",491,"l10n_ao.ao_49","Títulos negociáveis","account_parent_v10.data_account_type_view",0
"ao_491100","l10n_ao.l10n_ao_chart_template",491100,"l10n_ao.ao_491","Acções","account.data_account_type_current_assets",0
"ao_491200","l10n_ao.l10n_ao_chart_template",491200,"l10n_ao.ao_491","Obrigações","account.data_account_type_current_assets",0
"ao_491300","l10n_ao.l10n_ao_chart_template",491300,"l10n_ao.ao_491","Títulos da dívida pública","account.data_account_type_current_assets",0
"ao_492","l10n_ao.l10n_ao_chart_template",492,"l10n_ao.ao_49","Outras aplicações de tesouraria","account_parent_v10.data_account_type_view",0
"ao_492100","l10n_ao.l10n_ao_chart_template",492100,"l10n_ao.ao_492","Outras aplicações de tesouraria","account.data_account_type_current_assets",0
"ao_5","l10n_ao.l10n_ao_chart_template",5,"l10n_ao.ao_0","CAPITAL E RESERVAS","account_parent_v10.data_account_type_view",0
"ao_51","l10n_ao.l10n_ao_chart_template",51,"l10n_ao.ao_5","CAPITAL","account.data_account_type_current_liabilities",0
"ao_52","l10n_ao.l10n_ao_chart_template",52,"l10n_ao.ao_5","ACÇÕES, QUOTAS PRÓPRIAS","account_parent_v10.data_account_type_view",0
"ao_521","l10n_ao.l10n_ao_chart_template",521,"l10n_ao.ao_52","Valor nominal","account_parent_v10.data_account_type_view",0
"ao_521100","l10n_ao.l10n_ao_chart_template",521100,"l10n_ao.ao_521","Valor nominal","account.data_account_type_current_liabilities",0
"ao_522","l10n_ao.l10n_ao_chart_template",522,"l10n_ao.ao_52","Descontos","account_parent_v10.data_account_type_view",0
"ao_522100","l10n_ao.l10n_ao_chart_template",522100,"l10n_ao.ao_522","Descontos","account.data_account_type_current_liabilities",0
"ao_523","l10n_ao.l10n_ao_chart_template",523,"l10n_ao.ao_52","Prémios","account_parent_v10.data_account_type_view",0
"ao_523100","l10n_ao.l10n_ao_chart_template",523100,"l10n_ao.ao_523","Prémios","account.data_account_type_current_liabilities",0
"ao_53","l10n_ao.l10n_ao_chart_template",53,"l10n_ao.ao_5","PRÉMIOS DE EMISSÃO","account.data_account_type_current_liabilities",0
"ao_54","l10n_ao.l10n_ao_chart_template",54,"l10n_ao.ao_5","PRESTAÇÕES SUPLEMENTARES","account.data_account_type_current_liabilities",0
"ao_55","l10n_ao.l10n_ao_chart_template",55,"l10n_ao.ao_5","RESERVAS LEGAIS","account.data_account_type_current_liabilities",0
"ao_56","l10n_ao.l10n_ao_chart_template",56,"l10n_ao.ao_5","RESERVAS DE REAVALIAÇÃO","account.data_account_type_current_liabilities",0
"ao_561","l10n_ao.l10n_ao_chart_template",561,"l10n_ao.ao_56","Legais","account_parent_v10.data_account_type_view",0
"ao_561100","l10n_ao.l10n_ao_chart_template",561100,"l10n_ao.ao_561","Decreto-Lei nº","account.data_account_type_current_liabilities",0
"ao_561200","l10n_ao.l10n_ao_chart_template",561200,"l10n_ao.ao_561","Decreto-Lei nº","account.data_account_type_current_liabilities",0
"ao_562","l10n_ao.l10n_ao_chart_template",562,"l10n_ao.ao_56","Autónomas","account_parent_v10.data_account_type_view",0
"ao_562100","l10n_ao.l10n_ao_chart_template",562100,"l10n_ao.ao_562","Avaliação","account.data_account_type_current_liabilities",0
"ao_562200","l10n_ao.l10n_ao_chart_template",562200,"l10n_ao.ao_562","Realização","account.data_account_type_current_liabilities",0
"ao_57","l10n_ao.l10n_ao_chart_template",57,"l10n_ao.ao_5","RESERVAS COM FINS ESPECIAIS","account.data_account_type_current_liabilities",0
"ao_58","l10n_ao.l10n_ao_chart_template",58,"l10n_ao.ao_5","RESERVAS LIVRES","account.data_account_type_current_liabilities",0
"ao_6","l10n_ao.l10n_ao_chart_template",6,"l10n_ao.ao_0","PROVEITOS E GANHOS POR NATUREZA","account_parent_v10.data_account_type_view",0
"ao_61","l10n_ao.l10n_ao_chart_template",61,"l10n_ao.ao_6","VENDAS","account_parent_v10.data_account_type_view",0
"ao_611","l10n_ao.l10n_ao_chart_template",611,"l10n_ao.ao_61","Produtos acabados e intermédios","account_parent_v10.data_account_type_view",0
"ao_611100","l10n_ao.l10n_ao_chart_template",611100,"l10n_ao.ao_611","Mercado nacional","account.data_account_type_revenue",0
"ao_611200","l10n_ao.l10n_ao_chart_template",611200,"l10n_ao.ao_611","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_612","l10n_ao.l10n_ao_chart_template",612,"l10n_ao.ao_61","Subprodutos, desperdícios, resíduos e refugos","account_parent_v10.data_account_type_view",0
"ao_612100","l10n_ao.l10n_ao_chart_template",612100,"l10n_ao.ao_612","Mercado nacional","account.data_account_type_revenue",0
"ao_612200","l10n_ao.l10n_ao_chart_template",612200,"l10n_ao.ao_612","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_613","l10n_ao.l10n_ao_chart_template",613,"l10n_ao.ao_61","Mercadorias","account_parent_v10.data_account_type_view",0
"ao_613100","l10n_ao.l10n_ao_chart_template",613100,"l10n_ao.ao_613","Mercado nacional","account.data_account_type_revenue",0
"ao_613200","l10n_ao.l10n_ao_chart_template",613200,"l10n_ao.ao_613","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_614","l10n_ao.l10n_ao_chart_template",614,"l10n_ao.ao_61","Embalagens de consumo","account_parent_v10.data_account_type_view",0
"ao_614100","l10n_ao.l10n_ao_chart_template",614100,"l10n_ao.ao_614","Mercado nacional","account.data_account_type_revenue",0
"ao_614200","l10n_ao.l10n_ao_chart_template",614200,"l10n_ao.ao_614","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_615","l10n_ao.l10n_ao_chart_template",615,"l10n_ao.ao_61","Subsídios a preços","account_parent_v10.data_account_type_view",0
"ao_615100","l10n_ao.l10n_ao_chart_template",615100,"l10n_ao.ao_615","Subsídios a preços","account.data_account_type_revenue",0
"ao_617","l10n_ao.l10n_ao_chart_template",617,"l10n_ao.ao_61","Devoluções","account_parent_v10.data_account_type_view",0
"ao_617100","l10n_ao.l10n_ao_chart_template",617100,"l10n_ao.ao_617","Mercado nacional","account.data_account_type_revenue",0
"ao_617200","l10n_ao.l10n_ao_chart_template",617200,"l10n_ao.ao_617","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_618","l10n_ao.l10n_ao_chart_template",618,"l10n_ao.ao_61","Descontos e abatimentos","account_parent_v10.data_account_type_view",0
"ao_618100","l10n_ao.l10n_ao_chart_template",618100,"l10n_ao.ao_618","Mercado nacional","account.data_account_type_revenue",0
"ao_618200","l10n_ao.l10n_ao_chart_template",618200,"l10n_ao.ao_618","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_619","l10n_ao.l10n_ao_chart_template",619,"l10n_ao.ao_61","Transferência para resultados operacionais","account_parent_v10.data_account_type_view",0
"ao_62","l10n_ao.l10n_ao_chart_template",62,"l10n_ao.ao_6","PRESTAÇÕES DE SERVIÇOS","account_parent_v10.data_account_type_view",0
"ao_621","l10n_ao.l10n_ao_chart_template",621,"l10n_ao.ao_62","Serviços principais","account_parent_v10.data_account_type_view",0
"ao_621100","l10n_ao.l10n_ao_chart_template",621100,"l10n_ao.ao_621","Mercado nacional","account.data_account_type_revenue",0
"ao_621200","l10n_ao.l10n_ao_chart_template",621200,"l10n_ao.ao_621","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_622","l10n_ao.l10n_ao_chart_template",622,"l10n_ao.ao_62","Serviços secundários","account_parent_v10.data_account_type_view",0
"ao_622100","l10n_ao.l10n_ao_chart_template",622100,"l10n_ao.ao_622","Mercado nacional","account.data_account_type_revenue",0
"ao_622200","l10n_ao.l10n_ao_chart_template",622200,"l10n_ao.ao_622","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_628","l10n_ao.l10n_ao_chart_template",628,"l10n_ao.ao_62","Descontos e abatimentos","account_parent_v10.data_account_type_view",0
"ao_628100","l10n_ao.l10n_ao_chart_template",628100,"l10n_ao.ao_628","Mercado nacional","account.data_account_type_revenue",0
"ao_628200","l10n_ao.l10n_ao_chart_template",628200,"l10n_ao.ao_628","Mercado estrangeiro","account.data_account_type_revenue",0
"ao_629","l10n_ao.l10n_ao_chart_template",629,"l10n_ao.ao_62","Transferência para resultados operacionais","account_parent_v10.data_account_type_view",0
"ao_63","l10n_ao.l10n_ao_chart_template",63,"l10n_ao.ao_6","OUTROS PROVEITOS OPERACIONAIS","account_parent_v10.data_account_type_view",0
"ao_631","l10n_ao.l10n_ao_chart_template",631,"l10n_ao.ao_63","Serviços suplementares","account_parent_v10.data_account_type_view",0
"ao_631100","l10n_ao.l10n_ao_chart_template",631100,"l10n_ao.ao_631","Aluguer de equipamento","account.data_account_type_revenue",0
"ao_631200","l10n_ao.l10n_ao_chart_template",631200,"l10n_ao.ao_631","Cedência de pessoal","account.data_account_type_revenue",0
"ao_631300","l10n_ao.l10n_ao_chart_template",631300,"l10n_ao.ao_631","Cedência de energia","account.data_account_type_revenue",0
"ao_631400","l10n_ao.l10n_ao_chart_template",631400,"l10n_ao.ao_631","Estudos, projectos e assistência técnica","account.data_account_type_revenue",0
"ao_632","l10n_ao.l10n_ao_chart_template",632,"l10n_ao.ao_63","Royalties","account_parent_v10.data_account_type_view",0
"ao_633","l10n_ao.l10n_ao_chart_template",633,"l10n_ao.ao_63","Subsídios à exploração","account_parent_v10.data_account_type_view",0
"ao_634","l10n_ao.l10n_ao_chart_template",634,"l10n_ao.ao_63","Subsídios a investimento","account_parent_v10.data_account_type_view",0
"ao_638","l10n_ao.l10n_ao_chart_template",638,"l10n_ao.ao_63","Outros proveitos e ganhos operacionais","account_parent_v10.data_account_type_view",0
"ao_638100","l10n_ao.l10n_ao_chart_template",638100,"l10n_ao.ao_638","Outros proveitos e ganhos operacionais","account.data_account_type_revenue",0
"ao_639","l10n_ao.l10n_ao_chart_template",639,"l10n_ao.ao_63","Transfêrencia para resultados operacionais","account_parent_v10.data_account_type_view",0
"ao_64","l10n_ao.l10n_ao_chart_template",64,"l10n_ao.ao_6","VARIAÇÃO NOS INVENTÁRIOS DE PRODUTOS ACABADOS E DE PRODUÇÃO EM CURSO","account_parent_v10.data_account_type_view",0
"ao_641","l10n_ao.l10n_ao_chart_template",641,"l10n_ao.ao_64","Produtos e trabalhos em curso","account_parent_v10.data_account_type_view",0
"ao_641100","l10n_ao.l10n_ao_chart_template",641100,"l10n_ao.ao_641","Income","account.data_account_type_revenue",0
"ao_642","l10n_ao.l10n_ao_chart_template",642,"l10n_ao.ao_64","Produtos acabados","account_parent_v10.data_account_type_view",0
"ao_642100","l10n_ao.l10n_ao_chart_template",642100,"l10n_ao.ao_642","Income","account.data_account_type_revenue",0
"ao_643","l10n_ao.l10n_ao_chart_template",643,"l10n_ao.ao_64","Produtos intermédios","account_parent_v10.data_account_type_view",0
"ao_643100","l10n_ao.l10n_ao_chart_template",643100,"l10n_ao.ao_643","Produtos intermédios","account.data_account_type_revenue",0
"ao_649","l10n_ao.l10n_ao_chart_template",649,"l10n_ao.ao_64","Transferência para resultados operacionais","account_parent_v10.data_account_type_view",0
"ao_65","l10n_ao.l10n_ao_chart_template",65,"l10n_ao.ao_6","TRABALHOS PARA PRÓPRIA EMPRESA","account_parent_v10.data_account_type_view",0
"ao_651","l10n_ao.l10n_ao_chart_template",651,"l10n_ao.ao_65","Para imobilizado","account_parent_v10.data_account_type_view",0
"ao_651100","l10n_ao.l10n_ao_chart_template",651100,"l10n_ao.ao_651","Corpóreo","account.data_account_type_revenue",0
"ao_651200","l10n_ao.l10n_ao_chart_template",651200,"l10n_ao.ao_651","Incorpóreo","account.data_account_type_revenue",0
"ao_651300","l10n_ao.l10n_ao_chart_template",651300,"l10n_ao.ao_651","Financeiro","account.data_account_type_revenue",0
"ao_651400","l10n_ao.l10n_ao_chart_template",651400,"l10n_ao.ao_651","Em curso","account.data_account_type_revenue",0
"ao_652","l10n_ao.l10n_ao_chart_template",652,"l10n_ao.ao_65","Para encargos a repartir por exercícios futuros","account_parent_v10.data_account_type_view",0
"ao_652100","l10n_ao.l10n_ao_chart_template",652100,"l10n_ao.ao_652","Para encargos a repartir por exercícios futuros","account.data_account_type_revenue",0
"ao_659","l10n_ao.l10n_ao_chart_template",659,"l10n_ao.ao_65","Transferência para resultados operacionais","account_parent_v10.data_account_type_view",0
"ao_66","l10n_ao.l10n_ao_chart_template",66,"l10n_ao.ao_6","PROVEITOS E GANHOS FINANCEIROS GERAIS","account_parent_v10.data_account_type_view",0
"ao_661","l10n_ao.l10n_ao_chart_template",661,"l10n_ao.ao_66","Juros","account_parent_v10.data_account_type_view",0
"ao_6611","l10n_ao.l10n_ao_chart_template",6611,"l10n_ao.ao_661","De investimentos financeiros","account_parent_v10.data_account_type_view",0
"ao_661110","l10n_ao.l10n_ao_chart_template",661110,"l10n_ao.ao_6611","Obrigações","account.data_account_type_revenue",0
"ao_661130","l10n_ao.l10n_ao_chart_template",661130,"l10n_ao.ao_6611","Títulos de participação","account.data_account_type_revenue",0
"ao_661140","l10n_ao.l10n_ao_chart_template",661140,"l10n_ao.ao_6611","Empréstimos","account.data_account_type_revenue",0
"ao_661190","l10n_ao.l10n_ao_chart_template",661190,"l10n_ao.ao_6611","Outros","account.data_account_type_revenue",0
"ao_6612","l10n_ao.l10n_ao_chart_template",6612,"l10n_ao.ao_661","De mora relativos a dívidas de terceiros","account_parent_v10.data_account_type_view",0
"ao_661210","l10n_ao.l10n_ao_chart_template",661210,"l10n_ao.ao_6612","Dívidas recebidas a prestações","account.data_account_type_revenue",0
"ao_661220","l10n_ao.l10n_ao_chart_template",661220,"l10n_ao.ao_6612","De empréstimos a terceiros","account.data_account_type_revenue",0
"ao_661400","l10n_ao.l10n_ao_chart_template",661400,"l10n_ao.ao_6612","De aplicações de tesouraria","account.data_account_type_revenue",0
"ao_661500","l10n_ao.l10n_ao_chart_template",661500,"l10n_ao.ao_6612","Descontos de títulos","account.data_account_type_revenue",0
"ao_662","l10n_ao.l10n_ao_chart_template",662,"l10n_ao.ao_66","Diferenças de câmbio favoráveis","account_parent_v10.data_account_type_view",0
"ao_662100","l10n_ao.l10n_ao_chart_template",662100,"l10n_ao.ao_662","Realizadas","account.data_account_type_revenue",0
"ao_662200","l10n_ao.l10n_ao_chart_template",662200,"l10n_ao.ao_662","Não realizadas","account.data_account_type_revenue",0
"ao_663","l10n_ao.l10n_ao_chart_template",663,"l10n_ao.ao_66","Descontos de pronto pagamento obtidos","account_parent_v10.data_account_type_view",0
"ao_663100","l10n_ao.l10n_ao_chart_template",663100,"l10n_ao.ao_663","Descontos de pronto pagamento obtidos","account.data_account_type_revenue",0
"ao_664","l10n_ao.l10n_ao_chart_template",664,"l10n_ao.ao_66","Rendimentos de investimentos em imóveis","account_parent_v10.data_account_type_view",0
"ao_664100","l10n_ao.l10n_ao_chart_template",664100,"l10n_ao.ao_664","Rendimentos de investimentos em imóveis","account.data_account_type_revenue",0
"ao_665","l10n_ao.l10n_ao_chart_template",665,"l10n_ao.ao_66","Rendimento de participações de capital","account_parent_v10.data_account_type_view",0
"ao_665100","l10n_ao.l10n_ao_chart_template",665100,"l10n_ao.ao_665","Acções, quotas em outras empresa","account.data_account_type_revenue",0
"ao_665200","l10n_ao.l10n_ao_chart_template",665200,"l10n_ao.ao_665","Acções, quotas incluídas nos fundos","account.data_account_type_revenue",0
"ao_665300","l10n_ao.l10n_ao_chart_template",665300,"l10n_ao.ao_665","Acções, quotas incluídas nos títulos negociáveis","account.data_account_type_revenue",0
"ao_666","l10n_ao.l10n_ao_chart_template",666,"l10n_ao.ao_66","Ganhos na alienação de aplicações financeiras","account_parent_v10.data_account_type_view",0
"ao_6661","l10n_ao.l10n_ao_chart_template",6661,"l10n_ao.ao_666","Investimentos financeiros","account_parent_v10.data_account_type_view",0
"ao_666110","l10n_ao.l10n_ao_chart_template",666110,"l10n_ao.ao_6661","Subsidiárias","account.data_account_type_revenue",0
"ao_666120","l10n_ao.l10n_ao_chart_template",666120,"l10n_ao.ao_6661","Associadas","account.data_account_type_revenue",0
"ao_666130","l10n_ao.l10n_ao_chart_template",666130,"l10n_ao.ao_6661","Outras empresas","account.data_account_type_revenue",0
"ao_666140","l10n_ao.l10n_ao_chart_template",666140,"l10n_ao.ao_6661","Imóveis","account.data_account_type_revenue",0
"ao_666150","l10n_ao.l10n_ao_chart_template",666150,"l10n_ao.ao_6661","Fundos","account.data_account_type_revenue",0
